,Username,Konten,Lokasi
121,DesiHan04901158,"@OposisiCerdas Masih betah aja milih Prabowo..?

Gue heran demen banget di kibulin...?",
122,beritabumiayu,Kapolri Jenderal Listyo Sigit Prabowo https://t.co/VjC7gND04z,"Brebes, Jawa Tengah"
123,portalpantura,Kapolri Jenderal Listyo Sigit Prabowo https://t.co/RI6eHF1YgF,
124,DahonoB,"Terimakasih pak Kapolri,  Listyo Sigit Prabowo...ikut seneng lihat nya...","DKI Jakarta, Indonesia"
125,damario04,"Prabowo , jokowi , prabowo , jokowi , SBY !!!",
126,fokus_satu,"Netizen Kirim Video Penderita Tumor di kaki ke Medsos Kapolri, Listyo Sigit Prabowo Jenguk Shinta Aulia https://t.co/tBVmVwlSsn","Bandung, Jawa Barat"
127,AnwarSudibyo1,"@ChusnulCh__ @PDI_Perjuangan Di adu saja nanti ganjar eric thohir vs anies ,ridwan kamil, prabowo,puan..ak pilih kang ridwan kamil",
128,indonesiablue2,@AimanJudakusum1 @iankrambil @Totolagi1 @pengarang_sajak soalnya keluarga Soeharto kan 2 kali pilpres di belakang Prabowo. Berarti iya ya. menurut kamu?,
129,arifin34533,- Gerindra Prabowo,Indonesia
130,edcsetiawan,"@ruhutsitompul Gak usah terus menjilat pak Jokowi bang, beliau sisa 2.5 th aja lagi habis itu ganti juga. Masa nanti abang menjilat prabowo lagi 😁😇",
131,DivHumas_Polri,"Kapolri, Jenderal Polisi Drs. Listyo Sigit Prabowo, https://t.co/4DihjLGINW., memenuhi janjinya untuk mengunjungi Sinta Aulia, seorang anak perempuan penderita tumor kaki di RS Bhayangkara TK. I R. Said Sukanto, Kramat Jati, Jakarta Timur, Minggu (20/2). https://t.co/5bz9vFtbu8",
132,FHL_thinx81,Lihatlah kegigihan Pak @prabowo https://t.co/kKozCMFvsk,indonesia
133,Shinji__11,@berflovver Anaknya Prabowo x Megawati🙏🏻,"Cadia, Segmentum Obscurus"
134,indonesiablue2,@AimanJudakusum1 @iankrambil @Totolagi1 @pengarang_sajak pernah dengar soal itu. Berarti Salim grup pas pilpres kemaren dukung Prabowo ya?,
